P_ID;Date;PURQ1;PURQ2_R;PURQ3;PURQ4_R;BELQ1;BELQ2_R;BELQ3_R;BELQ4;BELQ5;BELQ6;COLQ1;COLQ2_R;COLQ3;COLQ4;COLQ5;GROWQ1;GROWQ2;GROWQ3;GROWQ4_R;GROWQ5;GROWQ6;ENGCQ1;ENGCQ2;ENGCQ3;ENGSQ1;ENGSQ2;ENGSQ3;ENGAQ1;ENGAQ2;ENGAQ3;ENGIDQ1;ENGIDQ2;ENGIDQ3;ENGIDQ4;PERFQ1;PERFQ2;PERFQ3;PERFQ4_R;PERFQ5;PERFQ6;PERFQ7;PERFQ8;PERFQ9;PERFQ10;PERFQ11_R;PERFQ12;PERFQ13;PERFQ14_R;PERFQ15_R;PERFQ16_R;PERFQ17_R;PERFQ18_R;RETQ1_R;RETQ2_R;RETQ3_R;Gender;Age;WFH_past_3_months;Position;Education;Income;WFH;int_mean;soc_mean;aff_mean
24;04.05.2021;4;2;4;5;5;5;5;4;5;4;5;5;4;5;5;5;5;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;4;1;4;4;4;4;4;4;5;3;4;5;5;5;3;5;5;5;5;Male;21 - 30 years;Not at all (I can't work from home);People Manager;Master Degree  (e.g. MA, MSc, MBA);NA;Fulltime;5;5;5
25;04.05.2021;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4;4;4;5;5;4;5;5;5;4;5;5;4;5;5;5;5;Female;51 - 60 years;Every day ( 5 days a week or more);Director;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);More than $150.000 a year;WFH;5;5;5
26;04.05.2021;4;5;3;3;4;4;3;4;5;5;4;5;5;4;5;2;3;3;1;4;3;5;5;4;3;4;3;5;4;4;4;5;4;4;5;5;5;5;5;4;5;3;4;5;5;3;3;4;5;4;4;4;3;2;5;Female;31 - 40 years;Every day ( 5 days a week or more);Employee;Master Degree  (e.g. MA, MSc, MBA);$25.001 - $50.000 a year;WFH;4.66666666666667;3.33333333333333;4.33333333333333
27;04.05.2021;5;4;4;4;4;4;4;5;5;3;5;4;5;4;5;3;3;2;4;3;4;4;4;4;3;3;3;4;4;4;4;4;5;5;3;3;3;4;3;4;3;3;3;2;3;3;4;4;4;4;5;3;3;3;5;Female;31 - 40 years;Every day ( 5 days a week or more);People Manager;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);$25.001 - $50.000 a year;WFH;4;3;4
28;04.05.2021;5;5;3;4;4;3;3;2;2;1;5;3;4;4;2;1;1;1;3;3;1;5;5;5;5;5;5;4;4;4;3;2;5;5;5;5;5;2;4;5;5;5;5;3;1;5;5;1;5;3;1;1;1;1;5;Male;31 - 40 years;Every day ( 5 days a week or more);Employee;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);$100.001 - $150.000 a year;WFH;5;5;4
29;04.05.2021;4;4;3;3;4;4;5;2;1;1;3;3;3;3;3;1;1;2;1;1;1;3;3;4;3;3;3;2;1;1;2;2;2;2;5;5;1;2;3;2;2;3;3;2;2;2;3;1;2;2;5;2;5;2;2;Male;31 - 40 years;Every day ( 5 days a week or more);Director;Master Degree  (e.g. MA, MSc, MBA);$50.001 - $75.000 a year;WFH;3.33333333333333;3;1.33333333333333
30;05.05.2021;3;2;2;3;2;2;5;2;3;1;3;5;4;5;5;1;2;2;3;3;2;5;5;5;4;3;3;5;5;5;3;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;5;3;1;1;Male;31 - 40 years;Every day ( 5 days a week or more);Director;Master Degree  (e.g. MA, MSc, MBA);$50.001 - $75.000 a year;WFH;5;3.33333333333333;5
31;05.05.2021;5;4;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;4;4;5;5;4;2;5;4;5;4;5;3;5;5;5;5;4;5;Female;21 - 30 years;Every day ( 5 days a week or more);People Manager;Master Degree  (e.g. MA, MSc, MBA);$50.001 - $75.000 a year;WFH;5;5;5
32;05.05.2021;3;2;4;5;3;4;4;4;4;4;3;4;3;3;3;2;2;2;3;2;2;4;4;4;3;3;3;4;4;3;3;2;2;3;4;4;4;2;3;3;4;4;4;3;2;4;4;3;5;5;4;4;2;2;3;Male;31 - 40 years;4 days a week;Independent Contractor (self-employed);Master Degree  (e.g. MA, MSc, MBA);Less than $25.000 a year;Hybrid;4;3;3.66666666666667
33;05.05.2021;4;5;5;4;5;5;5;5;5;5;4;5;4;4;5;4;4;4;5;4;4;4;5;4;4;3;4;5;5;5;5;4;4;5;4;5;5;4;3;5;5;5;5;5;5;4;5;3;5;4;3;2;4;3;5;Male;31 - 40 years;1 day a week;Director;Master Degree  (e.g. MA, MSc, MBA);$75.001 - $100.000 a year;Hybrid;4.33333333333333;3.66666666666667;5
34;05.05.2021;5;2;4;5;5;5;1;4;4;4;5;5;5;5;5;4;4;4;5;3;4;4;4;5;5;4;4;4;5;5;5;5;5;5;5;5;5;4;4;5;4;4;4;3;3;5;5;5;5;5;5;5;5;5;5;Female;21 - 30 years;1 day a week;Employee;Master Degree  (e.g. MA, MSc, MBA);$25.001 - $50.000 a year;Hybrid;4.33333333333333;4.33333333333333;4.66666666666667
35;05.05.2021;4;4;4;1;5;5;5;4;5;4;4;5;4;4;5;5;5;5;5;5;5;5;5;5;2;2;1;5;5;5;4;5;4;5;2;5;5;2;2;5;5;5;5;5;5;5;5;2;5;5;4;4;3;2;5;Female;31 - 40 years;3 days a week;Director;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);$75.001 - $100.000 a year;Hybrid;5;1.66666666666667;5
36;05.05.2021;1;1;1;1;5;5;5;4;3;1;5;3;4;3;1;2;2;1;1;1;4;3;4;4;3;5;4;3;2;2;1;1;1;1;5;4;5;4;5;1;3;5;5;3;2;3;1;2;4;4;1;1;1;1;3;Female;31 - 40 years;Not at all (I can't work from home);Employee;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);NA;Fulltime;3.66666666666667;4;2.33333333333333
37;05.05.2021;4;5;4;5;4;5;5;3;4;4;3;5;4;3;3;3;3;3;5;3;3;4;4;4;4;3;3;3;3;4;2;3;4;3;3;4;4;4;4;4;4;3;3;4;2;4;3;5;5;5;5;4;3;3;3;Male;51 - 60 years;Every day ( 5 days a week or more);Independent Contractor (self-employed);Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);$75.001 - $100.000 a year;WFH;4;3.33333333333333;3.33333333333333
38;05.05.2021;3;4;3;3;5;4;4;5;5;5;5;4;5;5;5;3;3;3;3;3;4;4;4;4;5;5;5;5;4;4;3;4;4;4;3;4;4;3;3;4;4;3;3;3;5;3;5;4;5;4;4;3;4;4;4;Female;31 - 40 years;Every day ( 5 days a week or more);Director;Master Degree  (e.g. MA, MSc, MBA);$50.001 - $75.000 a year;WFH;4;5;4.33333333333333
39;05.05.2021;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;5;3;3;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;5;3;4;Male;31 - 40 years;Every day ( 5 days a week or more);CEO & President;Master Degree  (e.g. MA, MSc, MBA);$100.001 - $150.000 a year;WFH;4.33333333333333;3.33333333333333;4
40;05.05.2021;3;2;4;3;4;4;5;3;2;1;3;5;3;2;3;2;2;1;3;3;2;5;4;4;3;3;2;3;3;3;3;3;2;3;4;5;3;4;4;3;2;3;4;2;3;2;3;4;5;3;5;1;2;1;2;Male;31 - 40 years;Every day ( 5 days a week or more);Employee;Master Degree  (e.g. MA, MSc, MBA);$25.001 - $50.000 a year;WFH;4.33333333333333;2.66666666666667;3
41;05.05.2021;3;5;5;5;5;5;5;4;4;4;4;4;4;4;4;3;4;3;4;4;5;5;5;5;4;4;5;4;5;5;5;5;4;4;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;3;4;3;3;4;Female;31 - 40 years;Every day ( 5 days a week or more);Employee;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);$50.001 - $75.000 a year;WFH;5;4.33333333333333;4.66666666666667
42;05.05.2021;4;3;3;2;4;2;5;4;3;1;4;2;4;3;2;1;1;1;1;1;1;3;3;3;3;2;2;2;2;2;2;3;2;3;3;3;5;5;4;4;3;3;3;2;3;3;3;2;4;4;2;1;1;1;3;Female;31 - 40 years;Every day ( 5 days a week or more);Employee;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);$25.001 - $50.000 a year;WFH;3;2.33333333333333;2
43;05.05.2021;4;5;4;5;5;4;5;4;5;5;5;5;5;5;5;3;3;4;3;3;4;4;4;4;4;4;4;4;4;4;3;3;4;5;5;5;5;5;5;5;5;5;5;5;5;4;5;4;5;4;2;2;2;2;5;Female;31 - 40 years;Every day ( 5 days a week or more);People Manager;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);$75.001 - $100.000 a year;WFH;4;4;4
44;06.05.2021;4;4;4;4;4;4;4;4;4;3;5;5;5;5;5;4;4;4;4;4;3;4;4;4;3;4;4;4;4;4;3;3;4;4;2;4;4;3;3;4;4;3;3;3;4;4;4;3;4;3;3;2;3;4;4;Female;41 - 50 years;Every day ( 5 days a week or more);Employee;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);NA;WFH;4;3.66666666666667;4
45;06.05.2021;4;5;5;5;5;5;3;4;5;4;5;4;4;4;5;4;4;4;4;4;3;4;4;5;4;4;4;5;5;5;4;5;5;5;2;4;3;3;2;3;4;4;4;3;5;4;4;3;4;5;5;5;5;5;5;Female;21 - 30 years;Every day ( 5 days a week or more);Director;Master Degree  (e.g. MA, MSc, MBA);$50.001 - $75.000 a year;WFH;4.33333333333333;4;5
46;07.05.2021;5;5;5;5;5;5;5;5;3;3;5;5;5;5;4;5;5;5;5;5;5;5;4;4;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;3;4;4;5;5;5;5;Male;41 - 50 years;3 days a week;Employee;Master Degree  (e.g. MA, MSc, MBA);More than $150.000 a year;Hybrid;4.33333333333333;3;5
47;07.05.2021;5;5;5;4;4;4;2;5;5;5;5;5;5;5;4;4;4;5;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;3;4;5;5;5;4;5;5;4;4;2;Male;51 - 60 years;Not at all (I can't work from home);Director;Master Degree  (e.g. MA, MSc, MBA);More than $150.000 a year;Fulltime;5;5;5
48;07.05.2021;4;4;5;3;4;5;5;4;4;4;4;5;5;3;4;5;4;5;5;3;2;5;5;5;4;5;4;3;3;3;4;4;3;5;2;5;5;1;3;5;5;5;5;4;5;5;5;3;4;4;4;3;2;3;5;Male;31 - 40 years;Every day ( 5 days a week or more);Director;Master Degree  (e.g. MA, MSc, MBA);$100.001 - $150.000 a year;WFH;5;4.33333333333333;3
49;07.05.2021;5;5;4;5;5;5;3;4;4;3;4;4;5;4;4;2;3;2;3;3;2;3;3;3;4;4;4;3;3;3;3;3;5;5;3;4;4;4;3;4;5;3;3;4;4;5;4;3;5;4;3;5;4;3;5;Male;41 - 50 years;2 days a week;People Manager;Master Degree  (e.g. MA, MSc, MBA);NA;Hybrid;3;4;3
50;07.05.2021;2;2;2;5;4;2;2;3;2;3;1;2;1;1;1;1;1;1;1;1;1;3;3;3;1;1;1;1;1;1;1;1;4;4;3;3;3;2;3;2;4;1;2;4;5;5;3;2;4;2;1;1;1;1;4;Female;21 - 30 years;Not at all (I can't work from home);Employee;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);Less than $25.000 a year;Fulltime;3;1;1
51;07.05.2021;5;5;4;4;4;3;5;4;4;4;4;4;4;3;4;4;3;4;4;4;4;5;4;5;4;3;4;4;3;4;4;4;4;4;3;4;4;3;4;4;5;4;4;4;4;4;5;2;3;2;2;3;3;4;5;Female;21 - 30 years;Every day ( 5 days a week or more);Employee;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);$50.001 - $75.000 a year;WFH;4.66666666666667;3.66666666666667;3.66666666666667
52;07.05.2021;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;4;5;5;5;5;5;5;4;4;4;5;5;5;5;5;5;5;5;5;5;1;4;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;Female;21 - 30 years;Every day ( 5 days a week or more);Employee;Master Degree  (e.g. MA, MSc, MBA);NA;WFH;5;4;5
53;07.05.2021;5;5;4;5;4;4;3;4;4;3;5;5;5;4;4;3;5;4;5;4;4;4;4;4;5;5;4;4;5;4;4;5;5;5;4;5;5;2;2;5;5;5;5;4;5;4;5;2;4;5;4;4;4;1;5;Male;41 - 50 years;Every day ( 5 days a week or more);People Manager;Master Degree  (e.g. MA, MSc, MBA);$75.001 - $100.000 a year;WFH;4;4.66666666666667;4.33333333333333
54;07.05.2021;2;5;4;4;5;5;5;3;3;4;2;4;2;2;2;2;2;1;4;3;2;5;5;5;2;3;2;2;2;2;3;2;3;4;4;5;2;2;4;2;4;5;5;5;5;4;5;4;5;2;2;4;2;1;4;Male;21 - 30 years;4 days a week;Employee;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);$100.001 - $150.000 a year;Hybrid;5;2.33333333333333;2
55;07.05.2021;4;4;5;5;5;5;5;5;4;4;5;4;5;4;5;2;1;1;3;2;1;5;5;5;5;2;5;5;5;5;4;4;3;5;1;5;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;2;1;1;4;Female;41 - 50 years;Every day ( 5 days a week or more);Vice President;Master Degree  (e.g. MA, MSc, MBA);$50.001 - $75.000 a year;WFH;5;4;5
56;07.05.2021;5;5;4;5;4;4;5;4;4;4;4;2;4;3;4;4;4;4;4;4;2;5;4;4;3;3;2;5;4;4;5;5;5;5;4;4;5;2;4;5;5;4;4;4;5;5;5;4;4;3;2;3;4;5;5;Male;31 - 40 years;Every day ( 5 days a week or more);People Manager;Master Degree  (e.g. MA, MSc, MBA);NA;WFH;4.33333333333333;2.66666666666667;4.33333333333333
57;08.05.2021;5;5;5;5;5;5;5;5;5;5;5;5;3;4;5;5;5;5;5;5;5;5;5;5;3;3;3;4;4;4;5;5;4;5;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;Female;41 - 50 years;2 days a week;Director;Master Degree  (e.g. MA, MSc, MBA);$50.001 - $75.000 a year;Hybrid;5;3;4
58;08.05.2021;5;4;4;5;4;4;5;4;4;3;4;5;4;3;4;3;5;5;4;4;3;5;5;5;3;3;4;4;5;4;4;4;5;5;5;5;5;1;4;4;4;4;4;4;5;3;5;3;3;5;5;5;5;5;5;Male;41 - 50 years;Every day ( 5 days a week or more);Employee;Master Degree  (e.g. MA, MSc, MBA);$50.001 - $75.000 a year;WFH;5;3.33333333333333;4.33333333333333
59;08.05.2021;4;5;4;4;3;3;2;3;4;4;4;3;4;4;2;5;5;5;4;5;5;4;4;4;3;2;3;4;4;4;5;5;4;5;4;5;5;4;3;5;5;5;4;4;4;3;3;3;3;4;4;3;4;2;5;Female;31 - 40 years;3 days a week;Employee;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);NA;Hybrid;4;2.66666666666667;4
60;08.05.2021;5;1;5;4;4;4;2;5;5;5;4;5;5;4;4;4;3;3;4;5;4;4;4;4;4;4;4;5;5;5;5;5;5;5;4;5;4;4;3;5;5;4;4;5;5;5;5;5;5;5;5;5;4;5;5;Female;51 - 60 years;4 days a week;Independent Contractor (self-employed);Master Degree  (e.g. MA, MSc, MBA);$50.001 - $75.000 a year;Hybrid;4;4;5
61;08.05.2021;5;5;5;1;5;4;5;5;5;5;4;5;5;5;5;5;5;5;5;5;4;5;4;4;3;3;3;4;4;4;4;4;4;4;4;4;4;5;4;5;5;5;5;5;4;5;5;3;5;5;4;4;5;5;5;Female;31 - 40 years;Every day ( 5 days a week or more);Independent Contractor (self-employed);Master Degree  (e.g. MA, MSc, MBA);$100.001 - $150.000 a year;WFH;4.33333333333333;3;4
62;08.05.2021;4;5;3;4;3;3;3;3;2;2;4;5;4;4;3;2;2;2;5;2;4;5;5;5;3;4;4;3;3;3;3;3;3;4;5;5;5;5;5;5;5;5;5;5;5;4;5;4;5;3;3;3;3;3;4;Male;21 - 30 years;1 day a week;Employee;Bachelors Degree or equivalent vocational Degree (e.g. BA, BSc);$25.001 - $50.000 a year;Hybrid;5;3.66666666666667;3
63;08.05.2021;5;5;5;5;5;5;5;5;5;5;5;5;3;4;5;5;5;5;5;5;5;5;5;5;3;3;3;4;4;4;5;5;4;5;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;Female;41 - 50 years;2 days a week;Director;Master Degree  (e.g. MA, MSc, MBA);$50.001 - $75.000 a year;Hybrid;5;3;4
64;08.05.2021;2;2;1;2;1;1;2;2;1;2;1;2;1;2;4;1;1;1;2;1;1;2;4;4;2;2;2;2;2;2;1;1;1;1;4;4;1;4;2;5;5;5;5;5;5;5;5;5;4;5;5;5;1;1;1;Female;41 - 50 years;Every day ( 5 days a week or more);Vice President;Doctoral Degree (e.g. Ph.D., Dr.);$100.001 - $150.000 a year;WFH;3.33333333333333;2;2
65;08.05.2021;5;3;4;5;4;4;4;4;5;3;4;3;4;4;5;3;3;3;5;2;2;4;4;4;3;3;3;4;3;4;4;3;5;5;3;3;2;3;3;2;4;3;4;4;4;3;4;3;3;2;2;2;3;4;4;Male;31 - 40 years;2 days a week;People Manager;Doctoral Degree (e.g. Ph.D., Dr.);$75.001 - $100.000 a year;Hybrid;4;3;3.66666666666667
